address_id,street_address,city,state,zip_code,country
f07d1fb5-a57d-4888-b8d9-ad3c9aab9cda,"246 Schmidt Curve
Petersenburgh, FL 12770",Lancehaven,Wi,42368,United States
52635322-24da-4e7c-b13e-c297a5105533,"14374 Patterson Lake
Williamsville, MI 17236",New Matthewstad,De,24309,United States
e54878db-6833-4d53-94c1-59ddfa57be17,"1354 Molly Station
Mauricehaven, FL 63735",South Robinstad,Te,90451,United States
d54c5029-eb19-48bd-a66e-64d75e4c0ab4,"920 Sarah Park Suite 647
Port Kennethville, TN 87322",Thompsonhaven,Ma,20977,Canada
00d6ac83-248b-4cb2-8c63-ba4824b2211f,"685 Patrick Parks
Port Julie, FM 05754",Hughesport,Ne,41090,United States
8d534ce7-d077-42c0-9722-3f5d6dbab029,"9561 James Parks Apt. 978
New Caitlin, WV 58362",Combsshire,Ne,23463,United States
2e34d4a8-54ac-4d4c-8c1e-d94d52aaaf94,"8193 Smith Brooks
West Cindyshire, NE 77435",North Jennifer,Pe,33908,United States
9fc30772-385f-4d8f-aa90-cf7146cd346b,"598 Tammy Passage Apt. 609
Davidberg, GA 07328",Wallsmouth,Ut,12641,Canada
4f97d2d1-f57c-47f4-b5bf-59d489237ac3,"53555 Pruitt Route Apt. 386
Stephanieview, NM 39691",Cathyview,Ne,27548,United States
df774aae-37c7-4246-94cc-f883bab32b5e,"55403 Russell Forge
West Darren, PA 93823",Lake Daniellemouth,Ne,18920,United States
a499988f-7307-498b-9d71-74f53fcf092b,"360 Aaron Row
East Valerieton, AK 36113",Simpsonside,We,69371,United States
f2e0a2a0-915f-4211-99ab-c02b3e6e4b61,"990 Crawford Well Suite 456
Nguyenmouth, AK 57073",Rachelbury,Ok,77778,United States
dd507777-c6ea-462e-be48-4b9254c4269a,"3474 Garcia Via
East Lee, OK 79560",South Donaldville,Ma,60746,Canada
949c0ddc-cdad-487a-a168-b6c4951d4584,"168 Peters Plains Suite 841
Taylorberg, MO 58457",Mariatown,Ma,45466,Canada
e5be8c12-3131-4650-809c-3641465446fa,"750 Andrea Expressway Apt. 892
South Loriberg, NE 34987",Lake Kathrynstad,Co,05882,United States
bea90afa-65a7-4672-aac3-4bb43a31376c,"1322 Ryan Tunnel Apt. 312
Port Nicole, DE 30680",Hughesland,Wa,66983,United States
30e2130d-5f3b-4219-8229-0e498f84c05b,"6456 Rojas Station Apt. 997
Barbaraville, OR 98888",Douglasville,Oh,62220,United States
bcbed5a8-58aa-455f-81fb-1001c26733b0,"47648 James Junctions
North Kevin, AZ 84206",New Brianchester,Ke,76418,United States
94a65615-0ff4-43d4-80a0-93f28623535b,"937 Vanessa Fields
Myersmouth, MT 59602",Bakertown,Ca,68429,Mexico
14bf104c-06af-4ed9-8da4-68101494d17a,"25333 Caitlin Lights
Smithmouth, OK 92756",Donaldport,No,43480,United States
fbc19611-2bbf-40a1-a6f8-db810b0b33fe,"7710 Randy Circles Apt. 141
Curtisburgh, SC 75459",Victorside,Wa,76405,United States
a2a7a08f-a81e-4af6-872b-92b6e49103d5,"Unit 0348 Box 5551
DPO AE 64257",Josephburgh,Lo,63285,Canada
fe62fc25-8623-4a16-bc62-ade744bc5231,"8494 Strong Walk Apt. 703
West Jennifer, GA 17526",South Marieport,Lo,20933,United States
c0fe4fdc-f637-412c-b9c1-de0e8731f4cc,"2845 Heather Bridge
Lake Jenniferview, AS 69366",Port Kristin,Wa,28012,United States
056e4051-509c-42ed-aa9e-bdb013e49bde,"189 Jeffery Green
Brownfort, CT 95540",Tammystad,Ma,81731,United States
d9e199bc-50f3-4f0a-8f25-d2e97bed56f4,"776 Peter Points
Lake Richard, AK 17008",Mathewsburgh,Co,82409,United States
88684f34-bb24-442f-b3a2-00a580b1fab3,"0574 Walsh Mountain Suite 066
Carolynstad, OR 48603",Christianborough,Vi,42976,United States
4431423b-b87a-4241-9af6-3438bbe22767,"9527 Ariana Mountain
West Michael, OK 73344",East Ashley,Co,06393,United States
818e78eb-0108-43d7-86f5-8db6768cd4b2,"604 Torres Wells
Jacobview, FM 77197",West Tyler,Al,82849,United States
97aeee4f-db69-43fb-b4ab-028d7426cc78,"PSC 3042, Box 2238
APO AE 75043",Howardton,No,83733,Mexico
646945aa-b615-4dfc-a80a-7eb499c4a97f,"578 Hicks Rapids Apt. 211
Lake Christopherfort, VA 44286",Smithland,Ok,17021,United States
fdb6bf59-1dde-4d12-8fd3-aeff6a1a8ecb,"77386 Rodriguez Pike
New Joseph, NM 06292",Matthewsville,Ha,89310,United States
64b56d90-d32b-4e7a-ba02-599939bdd8d4,"55920 Roberts Junctions Apt. 779
Barkerport, AR 94850",Lopezport,Mo,69182,United States
0779ea0c-1325-44e1-945b-c13165bb7e49,"77292 Kimberly Course
Burtonfort, CT 65186",East Andreaton,Lo,87472,United States
8b94fb8b-8e74-4274-9f6f-057745452919,"USCGC Christensen
FPO AA 49018",Cuevasberg,Or,28910,United States
cb29e4ac-f8cf-4af1-9190-6c3068acb9dc,"7286 Nunez Plaza
New Michaelland, OH 83493",West Loriton,So,07120,United States
f716c6c3-45de-4ca3-8036-a37e78f097d8,"26140 David Tunnel Suite 123
Brownmouth, AZ 44658",Williamsburgh,Ka,79281,United States
812bc4be-40fb-4067-900f-51b68b8e2450,"31569 Hansen Cove Suite 255
Vincentburgh, DE 67065",Kennethmouth,Te,73692,United States
05eadabb-9990-49b1-a8f9-0148b1be7863,"9119 Robinson Mission Apt. 519
Knoxtown, IN 53206",Timothytown,Oh,60000,Canada
e4389762-d4af-4299-aafc-29dfbf80255c,"782 Ruben Centers Suite 534
Barbaramouth, CT 29689",South Elizabeth,Il,89410,United States
08931ce5-c72a-4951-ba12-de6f7dc2e1ec,"3561 Lewis Corners Apt. 106
Jessicaberg, CA 57588",Lake Brittanymouth,So,49747,United States
b4f5a6d7-d0e3-4ec1-aa3a-067bc4c890b2,"509 Kyle Circles Suite 060
North Debraville, KS 95443",Kristinberg,No,95333,United States
