customer_id,address_id,first_name,last_name,email,phone_number,date_of_birth,registration_date,age,income,gender,customer_status,loyalty_tier,credit_score,marketing_opt_in,created_at,updated_at,notes
368287,48971bbc-b6ef-4dab-a82d-26d1080a8f81,Christopher,Garner,j******************m,+*************4,1953-07-15,2020-07-15,59,262036.44,Male,ACTIVE,SILVER,700,False,2021-04-04 15:59:49,2023-12-01 11:19:46,Complaint history
311501,1d99d9f5-94bc-49d0-a666-1640629da7a5,Catherine,Whitehead,x*******************m,9*************0,1955-07-13,2024-03-11,48,384406.9,Other,INACTIVE,SILVER,412,False,2020-11-03 08:32:37,2024-04-26 04:31:52,Excellent payment history
590001,819cc7a7-14a9-486c-8416-139d3ba7415e,Michelle,Johnson,c****************t,5**********3,1975-05-07,2024-04-04,29,233246.19,Female,ACTIVE,BRONZE,315,True,2023-05-17 04:19:39,2024-07-29 23:21:46,Excellent payment history
594521,9bd849fe-63ba-4e3e-858d-f6010c063285,Crystal,Mcclure,d******************g,8*************8,1993-06-02,2023-08-17,28,276292.85,Female,ACTIVE,BRONZE,836,False,2021-04-20 06:13:40,2022-11-26 05:26:30,High value account
356860,7f0ed76f-6b77-4cc9-8fd4-7a3163451a15,Jasmine,Simon,l*****************g,3*************2,1970-04-25,2023-12-12,69,444131.1,Other,ACTIVE,GOLD,678,False,2024-09-22 15:31:53,2024-02-01 19:20:24,Complaint history
606986,23adeacd-96df-46bd-a08b-136e7d7dcd66,Annette,Gibson,k*********************g,(*************0,1952-10-12,2023-11-13,44,497683.12,Female,ACTIVE,PLATINUM,612,True,2024-02-03 23:30:46,2021-11-20 16:17:19,Seasonal customer
949810,d726d0e5-91da-4bb5-8098-714f18ca6720,Christina,Hawkins,r******************g,4*************0,1999-09-24,2022-05-13,45,273587.68,Male,ACTIVE,BRONZE,327,True,2022-03-13 12:59:39,2021-04-16 11:26:55,Excellent payment history
203400,e92fa0da-85b3-4868-979f-ce653992f283,Renee,Strong,s***********************m,2*************9,1969-10-28,2020-12-11,32,287601.26,Female,ACTIVE,SILVER,593,False,2021-10-28 16:01:20,2023-09-08 15:29:48,High value account
219478,716f9fbe-289b-4a05-b015-1104d46e83bc,Amanda,Shaw,k******************m,(*************8,2002-04-27,2023-01-01,73,151946.96,Female,ACTIVE,SILVER,545,True,2021-12-23 16:53:40,2023-03-30 01:19:10,High value account
6517,0cb69e1f-b417-460f-b1e3-a4be3aa92daf,Sierra,Gomez,k**********************g,(*************7,1989-01-09,2022-05-01,77,243685.99,Male,INACTIVE,SILVER,665,True,2023-03-31 14:03:39,2020-02-20 09:03:20,Payment issues resolved
662588,61cb5d41-5e40-425e-bc49-901015f3f72d,Scott,Robinson,j********************t,9**********5,1994-02-28,2023-08-02,60,280235.64,Other,ACTIVE,BRONZE,641,True,2023-04-01 22:05:22,2023-04-05 09:24:01,Referral customer
99248,328ebcda-ce56-404f-84fc-c6c4339c9a26,Rachel,Meyer,m********************t,5*************7,1955-04-09,2024-06-04,19,49134.4,Male,ACTIVE,GOLD,363,False,2023-08-16 19:10:32,2020-05-24 19:49:15,Excellent payment history
929945,68dbd1b3-7a90-4a9a-80ba-78778a88e506,Jeffery,Wiley,a******************m,4**********9,2002-01-22,2024-09-24,76,105738.47,Male,ACTIVE,SILVER,308,False,2023-08-20 10:06:50,2021-08-01 17:33:53,High value account
846634,9ec221cb-e005-4400-8223-e9fdcab982ac,Adrian,Wilson,w*******************g,(***********7,1964-04-24,2021-04-28,68,229730.71,Female,ACTIVE,BRONZE,399,True,2023-06-29 07:55:00,2024-08-08 17:35:55,Payment issues resolved
628699,2667f776-4369-4c69-ab1d-b568831664b6,Beth,Hicks,e******************m,(***********2,2005-03-28,2020-04-26,49,269489.69,Female,SUSPENDED,PLATINUM,523,True,2022-02-23 02:15:48,2022-04-30 20:28:05,Excellent payment history
